timestamp,event_type,detail,x,y,window_title,element_type,element_content
2026-03-24T19:29:02.221348,mouse_move,Mouse at (290, 292),290,292,,,
2026-03-24T19:29:02.228794,mouse_move,Mouse at (290, 293),290,293,,,
2026-03-24T19:29:02.245392,mouse_move,Mouse at (291, 293),291,293,,,
2026-03-24T19:29:02.252392,mouse_move,Mouse at (291, 294),291,294,,,
2026-03-24T19:29:02.260716,mouse_move,Mouse at (292, 295),292,295,,,
2026-03-24T19:29:02.268862,mouse_move,Mouse at (293, 296),293,296,,,
2026-03-24T19:29:02.276948,mouse_move,Mouse at (294, 297),294,297,,,
2026-03-24T19:29:02.285167,mouse_move,Mouse at (295, 299),295,299,,,
2026-03-24T19:29:02.293305,mouse_move,Mouse at (296, 301),296,301,,,
2026-03-24T19:29:02.301453,mouse_move,Mouse at (299, 304),299,304,,,
2026-03-24T19:29:02.309008,mouse_move,Mouse at (300, 305),300,305,,,
2026-03-24T19:29:02.316466,mouse_move,Mouse at (303, 309),303,309,,,
2026-03-24T19:29:02.324497,mouse_move,Mouse at (305, 312),305,312,,,
2026-03-24T19:29:02.332599,mouse_move,Mouse at (308, 315),308,315,,,
2026-03-24T19:29:02.340633,mouse_move,Mouse at (313, 320),313,320,,,
2026-03-24T19:29:02.348760,mouse_move,Mouse at (317, 322),317,322,,,
2026-03-24T19:29:02.357905,mouse_move,Mouse at (320, 327),320,327,,,
2026-03-24T19:29:02.365009,mouse_move,Mouse at (323, 330),323,330,,,
2026-03-24T19:29:02.373214,mouse_move,Mouse at (327, 334),327,334,,,
2026-03-24T19:29:02.381375,mouse_move,Mouse at (331, 339),331,339,,,
2026-03-24T19:29:02.388663,mouse_move,Mouse at (334, 344),334,344,,,
2026-03-24T19:29:02.396868,mouse_move,Mouse at (338, 347),338,347,,,
2026-03-24T19:29:02.404954,mouse_move,Mouse at (342, 352),342,352,,,
2026-03-24T19:29:02.413022,mouse_move,Mouse at (346, 356),346,356,,,
2026-03-24T19:29:02.421254,mouse_move,Mouse at (350, 361),350,361,,,
2026-03-24T19:29:02.429299,mouse_move,Mouse at (354, 367),354,367,,,
2026-03-24T19:29:02.437095,mouse_move,Mouse at (359, 372),359,372,,,
2026-03-24T19:29:02.445238,mouse_move,Mouse at (366, 379),366,379,,,
2026-03-24T19:29:02.453315,mouse_move,Mouse at (375, 387),375,387,,,
2026-03-24T19:29:02.461359,mouse_move,Mouse at (381, 394),381,394,,,
2026-03-24T19:29:02.468483,mouse_move,Mouse at (393, 405),393,405,,,
2026-03-24T19:29:02.476545,mouse_move,Mouse at (403, 415),403,415,,,
2026-03-24T19:29:02.484686,mouse_move,Mouse at (414, 427),414,427,,,
2026-03-24T19:29:02.492783,mouse_move,Mouse at (429, 440),429,440,,,
2026-03-24T19:29:02.501041,mouse_move,Mouse at (444, 454),444,454,,,
2026-03-24T19:29:02.509116,mouse_move,Mouse at (456, 465),456,465,,,
2026-03-24T19:29:02.517281,mouse_move,Mouse at (471, 479),471,479,,,
2026-03-24T19:29:02.525342,mouse_move,Mouse at (484, 490),484,490,,,
2026-03-24T19:29:02.532486,mouse_move,Mouse at (498, 502),498,502,,,
2026-03-24T19:29:02.541614,mouse_move,Mouse at (510, 511),510,511,,,
2026-03-24T19:29:02.548745,mouse_move,Mouse at (522, 522),522,522,,,
2026-03-24T19:29:02.556863,mouse_move,Mouse at (537, 534),537,534,,,
2026-03-24T19:29:02.564971,mouse_move,Mouse at (549, 544),549,544,,,
2026-03-24T19:29:02.573065,mouse_move,Mouse at (560, 552),560,552,,,
2026-03-24T19:29:02.581098,mouse_move,Mouse at (574, 564),574,564,,,
2026-03-24T19:29:02.589205,mouse_move,Mouse at (588, 574),588,574,,,
2026-03-24T19:29:02.597235,mouse_move,Mouse at (600, 585),600,585,,,
2026-03-24T19:29:02.605336,mouse_move,Mouse at (611, 593),611,593,,,
2026-03-24T19:29:02.612374,mouse_move,Mouse at (623, 601),623,601,,,
2026-03-24T19:29:02.620481,mouse_move,Mouse at (631, 609),631,609,,,
2026-03-24T19:29:02.628514,mouse_move,Mouse at (639, 615),639,615,,,
2026-03-24T19:29:02.636649,mouse_move,Mouse at (646, 619),646,619,,,
2026-03-24T19:29:02.644709,mouse_move,Mouse at (652, 624),652,624,,,
2026-03-24T19:29:02.652828,mouse_move,Mouse at (657, 627),657,627,,,
2026-03-24T19:29:02.660893,mouse_move,Mouse at (661, 629),661,629,,,
2026-03-24T19:29:02.668960,mouse_move,Mouse at (664, 630),664,630,,,
2026-03-24T19:29:02.677016,mouse_move,Mouse at (667, 631),667,631,,,
2026-03-24T19:29:02.685081,mouse_move,Mouse at (670, 631),670,631,,,
2026-03-24T19:29:02.693161,mouse_move,Mouse at (672, 631),672,631,,,
2026-03-24T19:29:02.701252,mouse_move,Mouse at (675, 633),675,633,,,
2026-03-24T19:29:02.709330,mouse_move,Mouse at (678, 633),678,633,,,
2026-03-24T19:29:02.716442,mouse_move,Mouse at (681, 633),681,633,,,
2026-03-24T19:29:02.724546,mouse_move,Mouse at (685, 634),685,634,,,
2026-03-24T19:29:02.732719,mouse_move,Mouse at (691, 634),691,634,,,
2026-03-24T19:29:02.740853,mouse_move,Mouse at (697, 635),697,635,,,
2026-03-24T19:29:02.748900,mouse_move,Mouse at (703, 636),703,636,,,
2026-03-24T19:29:02.757017,mouse_move,Mouse at (707, 637),707,637,,,
2026-03-24T19:29:02.765105,mouse_move,Mouse at (714, 637),714,637,,,
2026-03-24T19:29:02.773229,mouse_move,Mouse at (722, 637),722,637,,,
2026-03-24T19:29:02.781318,mouse_move,Mouse at (731, 637),731,637,,,
2026-03-24T19:29:02.788404,mouse_move,Mouse at (741, 636),741,636,,,
2026-03-24T19:29:02.796482,mouse_move,Mouse at (752, 636),752,636,,,
2026-03-24T19:29:02.804572,mouse_move,Mouse at (761, 635),761,635,,,
2026-03-24T19:29:02.812625,mouse_move,Mouse at (772, 634),772,634,,,
2026-03-24T19:29:02.820765,mouse_move,Mouse at (784, 634),784,634,,,
2026-03-24T19:29:02.828967,mouse_move,Mouse at (794, 633),794,633,,,
2026-03-24T19:29:02.837070,mouse_move,Mouse at (804, 631),804,631,,,
2026-03-24T19:29:02.845124,mouse_move,Mouse at (813, 630),813,630,,,
2026-03-24T19:29:02.853206,mouse_move,Mouse at (822, 629),822,629,,,
2026-03-24T19:29:02.861264,mouse_move,Mouse at (828, 628),828,628,,,
2026-03-24T19:29:02.869341,mouse_move,Mouse at (835, 626),835,626,,,
2026-03-24T19:29:02.877031,mouse_move,Mouse at (844, 626),844,626,,,
2026-03-24T19:29:02.884748,mouse_move,Mouse at (849, 625),849,625,,,
2026-03-24T19:29:02.893326,mouse_move,Mouse at (855, 625),855,625,,,
2026-03-24T19:29:02.901246,mouse_move,Mouse at (859, 625),859,625,,,
2026-03-24T19:29:02.908365,mouse_move,Mouse at (864, 625),864,625,,,
2026-03-24T19:29:02.917168,mouse_move,Mouse at (868, 625),868,625,,,
2026-03-24T19:29:02.925166,mouse_move,Mouse at (871, 625),871,625,,,
2026-03-24T19:29:02.933166,mouse_move,Mouse at (873, 625),873,625,,,
2026-03-24T19:29:02.941069,mouse_move,Mouse at (875, 625),875,625,,,
2026-03-24T19:29:02.948714,mouse_move,Mouse at (876, 625),876,625,,,
2026-03-24T19:29:02.949735,mouse_click,Mouse left Click,876,625,,,
2026-03-24T19:29:03.231696,mouse_move,Mouse at (876, 624),876,624,,,
2026-03-24T19:29:03.232770,mouse_move,Mouse at (875, 623),875,623,,,
2026-03-24T19:29:03.252644,mouse_move,Mouse at (875, 623),875,623,,,
2026-03-24T19:29:03.268567,mouse_move,Mouse at (873, 623),873,623,,,
2026-03-24T19:29:03.276571,mouse_move,Mouse at (873, 622),873,622,,,
2026-03-24T19:29:03.310152,mouse_move,Mouse at (872, 622),872,622,,,
2026-03-24T19:29:03.311166,mouse_move,Mouse at (872, 622),872,622,,,
2026-03-24T19:29:03.317398,mouse_move,Mouse at (870, 622),870,622,,,
2026-03-24T19:29:03.324680,mouse_move,Mouse at (870, 622),870,622,,,
2026-03-24T19:29:03.332979,mouse_move,Mouse at (869, 622),869,622,,,
2026-03-24T19:29:03.341129,mouse_move,Mouse at (868, 622),868,622,,,
2026-03-24T19:29:03.376348,mouse_move,Mouse at (866, 622),866,622,,,
2026-03-24T19:29:03.376348,mouse_move,Mouse at (857, 621),857,621,,,
2026-03-24T19:29:03.383471,mouse_move,Mouse at (854, 621),854,621,,,
2026-03-24T19:29:03.389471,mouse_move,Mouse at (851, 620),851,620,,,
2026-03-24T19:29:03.396473,mouse_move,Mouse at (848, 620),848,620,,,
2026-03-24T19:29:03.425834,mouse_move,Mouse at (844, 620),844,620,,,
2026-03-24T19:29:03.426847,mouse_move,Mouse at (838, 620),838,620,,,
2026-03-24T19:29:03.428894,mouse_move,Mouse at (832, 621),832,621,,,
2026-03-24T19:29:03.437338,mouse_move,Mouse at (827, 622),827,622,,,
2026-03-24T19:29:03.444351,mouse_move,Mouse at (822, 624),822,624,,,
2026-03-24T19:29:03.476983,mouse_move,Mouse at (817, 626),817,626,,,
2026-03-24T19:29:03.476983,mouse_move,Mouse at (803, 637),803,637,,,
2026-03-24T19:29:03.485002,mouse_move,Mouse at (799, 642),799,642,,,
2026-03-24T19:29:03.493002,mouse_move,Mouse at (795, 647),795,647,,,
2026-03-24T19:29:03.501002,mouse_move,Mouse at (792, 652),792,652,,,
2026-03-24T19:29:03.541408,mouse_move,Mouse at (792, 659),792,659,,,
2026-03-24T19:29:03.542633,mouse_move,Mouse at (791, 690),791,690,,,
2026-03-24T19:29:03.549397,mouse_move,Mouse at (791, 699),791,699,,,
2026-03-24T19:29:03.556809,mouse_move,Mouse at (791, 706),791,706,,,
2026-03-24T19:29:03.592585,mouse_move,Mouse at (792, 714),792,714,,,
2026-03-24T19:29:03.592585,mouse_move,Mouse at (796, 730),796,730,,,
2026-03-24T19:29:03.597384,mouse_move,Mouse at (797, 732),797,732,,,
2026-03-24T19:29:03.605640,mouse_move,Mouse at (798, 732),798,732,,,
2026-03-24T19:29:03.642048,mouse_move,Mouse at (798, 732),798,732,,,
2026-03-24T19:29:03.643063,mouse_move,Mouse at (796, 729),796,729,,,
2026-03-24T19:29:03.645168,mouse_move,Mouse at (792, 724),792,724,,,
2026-03-24T19:29:03.652433,mouse_move,Mouse at (785, 716),785,716,,,
2026-03-24T19:29:03.660928,mouse_move,Mouse at (779, 710),779,710,,,
2026-03-24T19:29:03.694434,mouse_move,Mouse at (773, 703),773,703,,,
2026-03-24T19:29:03.695542,mouse_move,Mouse at (750, 679),750,679,,,
2026-03-24T19:29:03.704445,mouse_move,Mouse at (743, 671),743,671,,,
2026-03-24T19:29:03.709081,mouse_move,Mouse at (735, 664),735,664,,,
2026-03-24T19:29:03.717041,mouse_move,Mouse at (727, 659),727,659,,,
2026-03-24T19:29:03.761390,mouse_move,Mouse at (721, 656),721,656,,,
2026-03-24T19:29:03.762394,mouse_move,Mouse at (715, 650),715,650,,,
2026-03-24T19:29:03.773029,mouse_move,Mouse at (715, 650),715,650,,,
2026-03-24T19:29:03.875513,mouse_move,Mouse at (715, 650),715,650,,,
2026-03-24T19:29:03.875513,mouse_move,Mouse at (715, 650),715,650,,,
2026-03-24T19:29:03.876519,mouse_move,Mouse at (717, 650),717,650,,,
2026-03-24T19:29:03.884926,mouse_move,Mouse at (719, 650),719,650,,,
2026-03-24T19:29:03.892844,mouse_move,Mouse at (723, 649),723,649,,,
2026-03-24T19:29:03.928463,mouse_move,Mouse at (727, 648),727,648,,,
2026-03-24T19:29:03.929476,mouse_move,Mouse at (738, 646),738,646,,,
2026-03-24T19:29:03.938355,mouse_move,Mouse at (740, 646),740,646,,,
2026-03-24T19:29:03.940679,mouse_move,Mouse at (741, 646),741,646,,,
2026-03-24T19:29:03.948417,mouse_move,Mouse at (742, 646),742,646,,,
2026-03-24T19:29:03.957353,mouse_move,Mouse at (744, 646),744,646,,,
2026-03-24T19:29:03.993547,mouse_move,Mouse at (744, 646),744,646,,,
2026-03-24T19:29:03.994602,mouse_move,Mouse at (746, 646),746,646,,,
2026-03-24T19:29:03.994602,mouse_move,Mouse at (746, 646),746,646,,,
2026-03-24T19:29:03.996727,mouse_move,Mouse at (747, 646),747,646,,,
2026-03-24T19:29:04.005153,mouse_move,Mouse at (747, 646),747,646,,,
2026-03-24T19:29:04.094471,mouse_move,Mouse at (748, 646),748,646,,,
2026-03-24T19:29:04.102047,mouse_move,Mouse at (749, 646),749,646,,,
2026-03-24T19:29:04.110257,mouse_move,Mouse at (750, 646),750,646,,,
2026-03-24T19:29:04.116570,mouse_move,Mouse at (752, 646),752,646,,,
2026-03-24T19:29:04.163225,mouse_move,Mouse at (752, 646),752,646,,,
2026-03-24T19:29:04.163225,mouse_move,Mouse at (756, 647),756,647,,,
2026-03-24T19:29:04.164851,mouse_move,Mouse at (757, 649),757,649,,,
2026-03-24T19:29:04.172901,mouse_move,Mouse at (761, 651),761,651,,,
2026-03-24T19:29:04.181241,mouse_move,Mouse at (766, 654),766,654,,,
2026-03-24T19:29:04.225812,mouse_move,Mouse at (772, 659),772,659,,,
2026-03-24T19:29:04.225812,mouse_move,Mouse at (814, 706),814,706,,,
2026-03-24T19:29:04.228969,mouse_move,Mouse at (832, 724),832,724,,,
2026-03-24T19:29:04.237146,mouse_move,Mouse at (856, 750),856,750,,,
2026-03-24T19:29:04.244831,mouse_move,Mouse at (888, 779),888,779,,,
2026-03-24T19:29:04.277907,mouse_move,Mouse at (919, 807),919,807,,,
2026-03-24T19:29:04.278965,mouse_move,Mouse at (999, 890),999,890,,,
2026-03-24T19:29:04.286531,mouse_move,Mouse at (1018, 913),1018,913,,,
2026-03-24T19:29:04.293969,mouse_move,Mouse at (1034, 935),1034,935,,,
2026-03-24T19:29:04.300569,mouse_move,Mouse at (1044, 956),1044,956,,,
2026-03-24T19:29:04.341634,mouse_move,Mouse at (1050, 968),1050,968,,,
2026-03-24T19:29:04.341634,mouse_move,Mouse at (1052, 981),1052,981,,,
2026-03-24T19:29:04.342732,mouse_move,Mouse at (1051, 985),1051,985,,,
2026-03-24T19:29:04.349305,mouse_move,Mouse at (1048, 985),1048,985,,,
